acq_date,apco_rev_post,apco_rev_repro,auco_rev_veg,awco_rev,awpr_repro,blco_rev_veg,blpub_veg,blsco_rev_veg,box_code,cco_rev_veg,cnthph,cntnull,cntrep,cntveg,country_origin,cropyear,cuan_repro,cudi_code_repro,cudi_repro,cult_code_repro,cult_repro,cuno_code_repro,cuno_repro,cust_repro,date_head_1stflow,date_head_80,date_seed,date_update,dna_gid,endo,fla_repro,grlt,grwd,grwt100,gs_accno,hdg_80head,inco_rev_repro,iris_unique_id,la,ligco_rev_veg,liglt,ligsh,llt,llt_code,lpco_rev_post,lppub,lsen,lwd,mls_proc,noco_rev,ori_country,pa_repro,pex_repro,plt_code_post,plt_post,pop_code,psh,pth,pty,scco_rev,sdht,sdht_code,second_br_repro,slco_rev,sllt_code,sound_reid,sound_var,source_accno,species_coll,species_reid,spkf,spp_code,ss_country,ss_station,status_acc,subpopulation,subpopulation_v2,variety_gid,variety_type,wcnthph,wcntnull,wcntrep,wcntveg
Acqusition date (DD-MON-YYYY),Apiculus color at post-harvest,Apiculus color at reproductive,Auricle color at vegetative,Awn color,Awn presence at reproductive,Blade color at vegetative,Blade pubescence at vegetative,Basal leafsheath color at vegetative,ID assigned to DNA.,Collar color at vegetative - cultivated,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,Country of origin (ISO Standard),Crop Year,Culm angle at reproductive,Culm diam. of basal internode at reproductive,Culm diameter (mm) of basal internode at repro.,Culm length at reproductive,Culm length (cm) at reproductive,Culm number (code) at reproductive - cultivated,Culm number (count) at reproductive - cultivated,Culm strength at reproductive - cultivated,Date at first flowering,Date when plants are 80% fully headed-cultivated,Date of seeding,GRIMS Morpho-Agron data field,GID assigned to the individual plant where the genomic dna for resequencing was isolated.,Endosperm type,Flag leaf angle at reproductive - cultivated,Grain length (mm),Grain Width(mm),100-grain weight (gm) - cultivated,GS Accession Number,Heading (days to 80% fully headed) - cultivated,Internode color at reproductive - cultivated,Unique ID assigned by the International Rice Information System.,Leaf angle - cultivated,Ligule color at vegetative - cultivated,Ligule length (mm) - cultivated,Ligule shape,Leaf length (cm) - cultivated,Leaf length - cultivated,Lemma and palea color at post-harvest,Lemma and palea pubescence,Leaf senescence,Leaf width (cm) - cultivated,Current status of accession in relation to agreement with the Governing Body of the International Treaty on Plant Genetic Resources for Food and Agriculture,Node color,Source Country,Panicle axis at reproductive,Panicle exsertion at reproductive,Panicle length at post-harvest,Panicle length (cm) at post-harvest,Sub-population within a sample,Panicle shattering,Panicle threshability,Panicle type,Sead coat color,Seedling height (cm),Seedling height,Secondary branching at reproductive,Sterile lemma color,Sterile lemma length,Reid Soundex code,Varname soundex code,IRGC Accession number,Scientific name given by collector/donor,Scientific name,Spikelet fertility,Species code,Donating country,Donating institute/station,Status of germplasm,subpopulation (variety grouping),subpopulation (version 2),GID assigned to the rice variety.,variety group,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field
2009-11-01 00:00:00,20,20,61,20,5,60,3,60,AI03,61,15,44,21,8,Indonesia,1996WS,3,2,5,6,112,3,25,3,1996-11-13 00:00:00,1996-11-16 00:00:00,1996-06-05 00:00:00,2014-07-14 16:53:24.065674,3304734,1,5,8.3,2.7,2.2,131931,164,41,IRIS 313-9117,1,11,18,2,59,4,54,4,3,1.5,Y,60,IDN,2,1,3,30,A,3,9,5,10,20,2,1,20,3,O.SDB,BMG6::RGC6129-1,17186,O. sativa,O. sativa,3,S,PHL,288,AV,ind3,ind3,3059707,Indica,9,21,9,3
2011-05-01 00:00:00,20,80,61,20,5,85,3,84,BD10,60,12,36,18,6,Indonesia,1996WS,3,1,4,4,101,3,25,7,1996-11-13 00:00:00,1996-11-16 00:00:00,1996-06-05 00:00:00,2014-07-14 16:53:24.065674,3363676,1,3,9.7,2.9,2.4,127204,89,60,IRIS 313-10996,1,80,18,2,47,3,20,4,1,1.3,Y,60,IDN,2,1,3,24,A,3,9,9,10,29,1,1,20,3,O.SDB,BCS::RGC27074-1,27074,O. sativa,O. sativa,3,S,PHL,288,AV,ind3,indx,4056245,Indica,8,18,7,3
2012-05-01 00:00:00,20,20,61,52,9,63,3,60,BA54,60,14,42,20,8,Indonesia,1996WS,3,2,5,6,148,3,21,3,1996-11-13 00:00:00,1996-11-16 00:00:00,1996-06-05 00:00:00,2014-07-14 16:53:24.065674,3363911,1,5,8.5,3.4,3.1,127984,116,60,IRIS 313-10761,1,11,18,2,70,4,20,3,5,1.9,Y,60,IDN,2,1,4,31,A,1,2,5,10,52,2,1,20,3,O.SDB,BLCSM::RGC17201-2,17201,O. sativa,O. sativa,3,S,PHL,288,AV,trop,trop1,4055188,Japonica,9,21,9,3
2012-05-01 00:00:00,20,80,61,80,9,63,3,84,AN77,61,14,42,20,8,Indonesia,1996WS,5,2,6,4,107,2,13,5,1996-11-13 00:00:00,1996-11-16 00:00:00,1996-06-05 00:00:00,2014-07-14 16:53:24.065674,3363176,1,7,9.2,3.3,3.3,131969,120,84,IRIS 313-11496,3,11,15,2,56,3,20,3,3,1.9,Y,60,IDN,2,1,3,30,A,1,1,6,10,38,2,1,20,3,O.SDB,BLCSM::RGC17201-2,54158,O. sativa,O. sativa,5,S,PHL,288,AV,trop,trop1,4055188,Indica,9,21,9,3
2012-05-01 00:00:00,20,10,61,80,9,60,3,60,BC49,60,12,36,18,6,Indonesia,1996WS,3,1,4,4,105,2,20,1,1996-11-13 00:00:00,1996-11-16 00:00:00,1996-06-05 00:00:00,2014-07-14 16:53:24.065674,3363730,1,1,8.9,2.9,2.3,127987,120,60,IRIS 313-10942,3,11,18,2,49,3,54,3,1,1.5,Y,60,IDN,2,7,3,25,A,1,5,5,10,15,1,1,20,3,O.SDB,BMDMGBMGCLM::RGC24697-2,24697,O. sativa,O. sativa,3,S,PHL,288,AV,ind3,ind3,4055130,Indica,8,18,7,3
2012-05-01 00:00:00,20,10,61,80,9,60,3,60,AY6,60,12,35,17,6,Indonesia,1996WS,1,2,6,5,124,3,25,9,1996-11-13 00:00:00,1996-11-16 00:00:00,1996-06-05 00:00:00,2014-07-14 16:53:24.065674,3364147,1,5,8.1,2.6,2.2,132246,151,60,IRIS 313-10525,3,11,26,2,78,4,20,3,9,1.5,Y,60,IDN,2,1,3,28,A,1,5,9,10,22,1,1,20,3,O.SDB,BMDMGBMGCLM::RGC24697-2,6133,O. sativa,O. sativa,3,S,PHL,288,AV,ind3,ind3,4055130,Indica,8,18,7,3
2011-05-01 00:00:00,20,10,61,80,9,60,3,60,BA55,60,12,36,18,6,Indonesia,1996WS,3,2,5,6,146,2,15,9,1996-11-13 00:00:00,1996-11-16 00:00:00,1996-06-05 00:00:00,2014-07-14 16:53:24.065674,3363910,1,7,8.4,3,2.9,127207,111,60,IRIS 313-10762,3,11,19,2,60,3,20,3,1,1.2,Y,60,IDN,2,7,3,25,A,1,5,5,10,52,2,1,20,3,O.SDB,BMD::RGC17214-1,17214,O. sativa,O. sativa,3,S,PHL,288,AV,ind3,ind3,4056356,Indica,8,18,7,3
2010-11-01 00:00:00,20,10,61,80,9,60,3,84,AD27,60,12,36,18,6,Indonesia,1996WS,3,2,5,5,115,2,14,9,1996-11-13 00:00:00,1996-11-16 00:00:00,1996-06-05 00:00:00,2014-07-14 16:53:24.065674,3305537,1,7,9.1,3.2,3,126047,106,60,IRIS 313-8314,3,11,24,2,71,4,20,3,1,2,Y,60,IDN,2,1,4,37,A,1,5,5,70,52,2,1,20,3,O.SDB,BRMLD::RGC35563-1,35563,O. sativa,O. sativa,3,S,PHL,288,AV,trop,trop1,3060206,Indica,8,18,7,3
2010-11-01 00:00:00,20,60,62,80,9,60,3,60,AH90,61,12,36,18,6,Indonesia,2009WS,5,2,9.1,5,142,2,12,7,2009-11-13 00:00:00,2009-11-17 00:00:00,2009-06-17 00:00:00,2014-07-14 16:53:28.386072,3304797,1,5,7.2,2.8,1.7,131933,151,60,IRIS 313-9054,1,11,22,3,57.6,4,54,4,5,1.4,Y,60,IDN,2,9,4,27.4,A,1,3,5,70,44,2,1,20,3,O.SDB,BRMLD::RGC35563-1,43354,O. sativa,O. sativa,4,S,PHL,288,AV,ind3,ind3,3060206,Indica,8,18,7,3
2011-05-01 00:00:00,20,10,61,80,9,60,3,60,BC42,60,12,36,18,6,Indonesia,2009WS,3,2,5,6,140,2,12,7,2009-11-13 00:00:00,2009-11-17 00:00:00,2009-06-17 00:00:00,2014-07-14 16:53:28.386072,3363737,1,5,9.8,2.6,2.5,127238,115,60,IRIS 313-10935,1,11,25,3,64,4,20,4,1,1.4,Y,60,IDN,2,7,3,30,A,1,5,5,10,21,1,1,20,3,O.SDB,BRMDLFD::RGC24541-1,24541,O. sativa,O. sativa,3,S,PHL,288,AV,ind3,ind3,4056276,Indica,8,18,7,3
